HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N3.HOG0000351	OG0000287	n0									WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011283962.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_160608017.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1	WP_011206049.1		WP_088764615.1	WP_011206049.1	WP_011206049.1
N3.HOG0000352	OG0000288	n0									WP_011206048.1	WP_014579618.1	WP_014579618.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1	WP_011206048.1		WP_014579618.1	WP_011206048.1	WP_011206048.1
N3.HOG0000353	OG0000289	n0									WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_011283963.1	WP_160585195.1	WP_011283963.1	WP_160585195.1	WP_160585195.1	WP_011283963.1	WP_011283963.1	WP_160585195.1	WP_011283963.1	WP_011283963.1		WP_011283963.1	WP_011283963.1	WP_011283963.1
N3.HOG0000354	OG0000290	n0									WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_160601104.1	WP_011206047.1	WP_011206047.1	WP_011206047.1	WP_160608018.1	WP_011206047.1	WP_160588083.1	WP_011206047.1	WP_160588083.1	WP_011206047.1		WP_011206047.1	WP_011206047.1	WP_011206047.1
N3.HOG0000355	OG0000291	n0									WP_011206045.1	WP_014579616.1	WP_014579616.1	WP_011206045.1	WP_011290056.1	WP_011290056.1	WP_014579616.1	WP_014579616.1	WP_011283965.1	WP_014579616.1	WP_011283965.1	WP_233688664.1	WP_014579616.1	WP_160585193.1	WP_160590389.1	WP_160585193.1	WP_160608020.1	WP_160606684.1	WP_014579616.1	WP_160585193.1	WP_014579616.1	WP_011206045.1		WP_014579616.1	WP_014579616.1	WP_014579616.1
N3.HOG0000356	OG0000292	n0									WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_135618612.1	WP_146379520.1	WP_011206044.1	WP_011206044.1	WP_011206044.1	WP_160585731.1	WP_011206044.1	WP_160585731.1	WP_160585731.1	WP_011206044.1	WP_160588081.1	WP_011206044.1	WP_160588081.1	WP_011206044.1		WP_011206044.1	WP_011206044.1	WP_011206044.1
N3.HOG0000357	OG0000293	n0									WP_011206042.1	WP_014579615.1	WP_014579615.1	WP_011206042.1	WP_011290058.1	WP_011290058.1	WP_179695969.1	WP_179221043.1	WP_011206042.1	WP_011290058.1	WP_011206042.1	WP_233688666.1	WP_011206042.1	WP_011290058.1	WP_011290058.1	WP_011290058.1	WP_011290058.1	WP_011290058.1	WP_011290058.1	WP_011290058.1	WP_011290058.1	WP_011206042.1		WP_014579615.1	WP_011290058.1	WP_011290058.1
N3.HOG0000358	OG0000294	n0									WP_011206041.1	WP_020835591.1	WP_020835591.1	WP_011206041.1	WP_020835591.1	WP_011206041.1	WP_020835591.1	WP_020835591.1	WP_228729170.1	WP_011206041.1	WP_193325078.1	WP_020835591.1	WP_220200886.1	WP_011206041.1	WP_011206041.1	WP_220190714.1	WP_020835591.1	WP_011206041.1	WP_020835591.1	WP_220190714.1	WP_020835591.1	WP_011206041.1		WP_020835591.1	WP_011206041.1	WP_011206041.1
N3.HOG0000359	OG0000295	n0									WP_011206040.1	WP_011206040.1	WP_011206040.1	WP_011206040.1	WP_020835592.1	WP_011290060.1	WP_160606682.1	WP_179221044.1	WP_135618616.1	WP_020835592.1	WP_011283968.1	WP_011283968.1	WP_011206040.1	WP_135618616.1	WP_160590391.1	WP_160585732.1	WP_135618616.1	WP_160606682.1	WP_020835592.1	WP_135618616.1	WP_020835592.1	WP_011206040.1		WP_011206040.1	WP_020835592.1	WP_020835592.1
N3.HOG0000360	OG0000296	n0									WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_160585733.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1	WP_011206039.1		WP_011206039.1	WP_011206039.1	WP_011206039.1
N3.HOG0000361	OG0000297	n0									WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1	WP_011206038.1		WP_011206038.1	WP_011206038.1	WP_011206038.1
N3.HOG0000362	OG0000298	n0									WP_011206037.1	WP_041361589.1	WP_041361589.1	WP_011206037.1	WP_041361589.1	WP_041361589.1	WP_041361589.1	WP_179221045.1	WP_041361589.1	WP_041361589.1	WP_011206037.1	WP_041361589.1	WP_041361589.1	WP_041361589.1	WP_041361589.1	WP_041361589.1	WP_041361589.1	WP_041361589.1	WP_160588076.1	WP_041361589.1	WP_160588076.1	WP_011206037.1		WP_041361589.1	WP_041361589.1	WP_041361589.1
N3.HOG0000363	OG0000299	n0									WP_011206033.1	WP_014579610.1	WP_014579610.1	WP_011206033.1	WP_020835596.1	WP_020835596.1	WP_179695968.1	WP_044284599.1	WP_135618620.1	WP_146379522.1	WP_044284599.1	WP_233688667.1	WP_160601098.1	WP_160615864.1	WP_160590395.1	WP_160585734.1	WP_020835596.1	WP_044284599.1	WP_160588073.1	WP_044284599.1	WP_160588073.1	WP_011206033.1		WP_014579610.1	WP_020835596.1	WP_020835596.1
N3.HOG0000364	OG0000300	n0									WP_011206032.1	WP_014579609.1	WP_014579609.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1	WP_011206032.1		WP_014579609.1	WP_011206032.1	WP_011206032.1
N3.HOG0000365	OG0000301	n0									WP_011206031.1	WP_014579608.1	WP_014579608.1	WP_011206031.1	WP_011290064.1	WP_011290064.1	WP_011290064.1	WP_179221046.1	WP_011290064.1	WP_011290064.1	WP_011206031.1	WP_011206031.1	WP_011206031.1	WP_011290064.1	WP_011206031.1	WP_011206031.1	WP_011290064.1	WP_011206031.1	WP_011206031.1	WP_160585189.1	WP_011206031.1	WP_011206031.1		WP_088764611.1	WP_011290064.1	WP_011290064.1
N3.HOG0000366	OG0000302	n0									WP_011206030.1	WP_014579607.1	WP_014579607.1	WP_011206030.1	WP_041361593.1	WP_041361593.1	WP_041361593.1	WP_179221047.1	WP_135618622.1	WP_041361593.1	WP_044284600.1	WP_233688668.1	WP_094521599.1	WP_160615866.1	WP_094521599.1	WP_160585735.1	WP_160608021.1	WP_041361593.1	WP_041361593.1	WP_160585187.1	WP_041361593.1	WP_011206030.1		WP_014579607.1	WP_160608021.1	WP_160608021.1
N3.HOG0000367	OG0000303	n0									WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_160608022.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1	WP_011206028.1		WP_011206028.1	WP_011206028.1	WP_011206028.1
N3.HOG0000368	OG0000304	n0									WP_011206027.1	WP_014579605.1	WP_014579605.1	WP_011206027.1	WP_011206027.1	WP_011206027.1	WP_160585185.1	WP_014579605.1	WP_014579605.1	WP_014579605.1	WP_011283973.1	WP_014579605.1	WP_014579605.1	WP_011206027.1	WP_160585185.1	WP_011206027.1	WP_011206027.1	WP_011206027.1	WP_014579605.1	WP_160585185.1	WP_014579605.1	WP_011206027.1		WP_014579605.1	WP_014579605.1	WP_014579605.1
N3.HOG0000369	OG0000305	n0									WP_011206026.1	WP_014579604.1	WP_014579604.1	WP_011206026.1	WP_020835599.1	WP_011290066.1	WP_050195474.1	WP_014579604.1	WP_014579604.1	WP_146379523.1	WP_011283974.1	WP_014579604.1	WP_014579604.1	WP_050195474.1	WP_094521600.1	WP_011290066.1	WP_160608023.1	WP_050195474.1	WP_014579604.1	WP_011290066.1	WP_014579604.1	WP_011206026.1		WP_014579604.1	WP_243216006.1	WP_243216006.1
N3.HOG0000370	OG0000306	n0									WP_011206025.1	WP_014579603.1	WP_014579603.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_179221048.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_011206025.1	WP_160585183.1	WP_011206025.1	WP_011206025.1		WP_014579603.1	WP_011206025.1	WP_011206025.1
N3.HOG0000371	OG0000307	n0									WP_011206024.1	WP_014579602.1	WP_014579602.1	WP_011206024.1	WP_020835600.1	WP_011290067.1	WP_011290067.1	WP_011290067.1	WP_011290067.1	WP_146379524.1	WP_011283976.1	WP_011283976.1	WP_011290067.1	WP_011290067.1	WP_160590397.1	WP_011290067.1	WP_146379524.1	WP_146379524.1	WP_011290067.1	WP_011283976.1	WP_011290067.1	WP_011206024.1		WP_014579602.1	WP_146379524.1	WP_146379524.1
N3.HOG0000372	OG0000308	n0									WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1	WP_014579601.1		WP_014579601.1	WP_014579601.1	WP_014579601.1
N3.HOG0000373	OG0000309	n0									WP_011206018.1	WP_011290071.1	WP_011290071.1	WP_011206018.1	WP_020835604.1	WP_011290071.1	WP_179696062.1	WP_179221050.1	WP_011290071.1	WP_146379528.1	WP_011283981.1	WP_233688672.1	WP_011290071.1	WP_146379528.1	WP_011290071.1	WP_011290071.1	WP_011290071.1	WP_011290071.1	WP_011290071.1	WP_160584666.1	WP_011290071.1	WP_011206018.1		WP_011290071.1	WP_011290071.1	WP_011290071.1
N3.HOG0000374	OG0000310	n0									WP_011206017.1	WP_014579662.1	WP_014579662.1	WP_011206017.1	WP_020835605.1	WP_044272360.1	WP_179696063.1	WP_179221051.1	WP_135618631.1	WP_146379529.1	WP_044284601.1	WP_233688673.1	WP_160601002.1	WP_160615748.1	WP_160590251.1	WP_160585570.1	WP_160585570.1	WP_044272360.1	WP_160587974.1	WP_160584668.1	WP_160587974.1	WP_011206017.1		WP_252862168.1	WP_243216010.1	WP_243216010.1
N3.HOG0000375	OG0000311	n0									WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011290074.1	WP_011290074.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_160606761.1	WP_011206014.1	WP_011206014.1	WP_011206014.1	WP_011206014.1		WP_011206014.1	WP_011206014.1	WP_011206014.1
N3.HOG0000376	OG0000312	n0									WP_011206013.1	WP_011206013.1	WP_011206013.1	WP_011206013.1	WP_020835607.1	WP_020835607.1	WP_160584674.1	WP_179221053.1	WP_020835607.1	WP_146379531.1	WP_044284602.1	WP_233688674.1	WP_160601000.1	WP_044284602.1	WP_160590253.1	WP_160585569.1	WP_160607932.1	WP_160606763.1	WP_160585569.1	WP_160584674.1	WP_160585569.1	WP_011206013.1		WP_011206013.1	WP_233688674.1	WP_233688674.1
N3.HOG0000377	OG0000313	n0									WP_044284822.1	WP_014579664.1	WP_014579664.1	WP_044284822.1	WP_041361598.1	WP_011290076.1	WP_146379533.1	WP_044284822.1	WP_135618635.1	WP_146379533.1	WP_041361598.1	WP_044284822.1	WP_044284822.1	WP_160615752.1	WP_160590255.1	WP_160585568.1	WP_160607928.1	WP_146379533.1	WP_160587977.1	WP_160584676.1	WP_160587977.1	WP_044284822.1		WP_252862166.1	WP_044284822.1	WP_044284822.1
N3.HOG0000378	OG0000314	n0									WP_011206010.1	WP_011283987.1	WP_011283987.1	WP_011206010.1	WP_020835610.1	WP_011290077.1	WP_011290077.1	WP_020835610.1	WP_020835610.1	WP_146379534.1	WP_011283987.1	WP_020835610.1	WP_011283987.1	WP_160584678.1	WP_160584678.1	WP_160584678.1	WP_011290077.1	WP_020835610.1	WP_011283987.1	WP_160584678.1	WP_011283987.1	WP_011206010.1		WP_011283987.1	WP_020835610.1	WP_020835610.1
N3.HOG0000379	OG0000315	n0									WP_011206009.1	WP_014579665.1	WP_014579665.1	WP_011206009.1	WP_020835611.1	WP_011290078.1	WP_011290078.1	WP_160587980.1	WP_135618637.1	WP_146379535.1	WP_011283988.1	WP_233688676.1	WP_020835611.1	WP_160615754.1	WP_011290078.1	WP_160585567.1	WP_160607926.1	WP_020835611.1	WP_160587980.1	WP_160584680.1	WP_160587980.1	WP_011206009.1		WP_014579665.1	WP_243216014.1	WP_243216014.1
N3.HOG0000380	OG0000316	n0									WP_011206008.1	WP_016340197.1	WP_014579666.1	WP_011206008.1	WP_020835612.1	WP_011283989.1	WP_011283989.1	WP_011283989.1	WP_135618639.1	WP_146379536.1	WP_011283989.1	WP_011283989.1	WP_160600997.1	WP_011283989.1	WP_011283989.1	WP_011283989.1	WP_011283989.1	WP_020835612.1	WP_011283989.1	WP_011283989.1	WP_011283989.1	WP_011206008.1		WP_014579666.1	WP_011283989.1	WP_011283989.1
N3.HOG0000381	OG0000317	n0									WP_011206007.1	WP_014579667.1	WP_014579667.1	WP_011206007.1	WP_020835613.1	WP_044272366.1	WP_179221055.1	WP_179221055.1	WP_135618641.1	WP_146379537.1	WP_044284603.1	WP_233688687.1	WP_160600995.1	WP_160615756.1	WP_160590257.1	WP_160585566.1	WP_160607924.1	WP_160606765.1	WP_160587982.1	WP_160584682.1	WP_160587982.1	WP_011206007.1		WP_014579667.1	WP_243216016.1	WP_243216016.1
N3.HOG0000382	OG0000318	n0									WP_011206006.1	WP_011206006.1	WP_014579669.1	WP_011206006.1	WP_011283991.1	WP_011283991.1	WP_011206006.1	WP_011206006.1	WP_011206006.1	WP_011206006.1	WP_011283991.1	WP_233688688.1	WP_160600993.1	WP_011206006.1	WP_011283991.1	WP_011283991.1	WP_011206006.1	WP_011283991.1	WP_011283991.1	WP_011206006.1	WP_011283991.1	WP_011206006.1		WP_011206006.1	WP_011283991.1	WP_011283991.1
N3.HOG0000383	OG0000319	n0									WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_020835614.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_160606767.1	WP_011206005.1	WP_011206005.1	WP_011206005.1	WP_011206005.1		WP_011206005.1	WP_011206005.1	WP_011206005.1
N3.HOG0000384	OG0000320	n0									WP_011206003.1	WP_014579672.1	WP_014579672.1	WP_011206003.1	WP_020835616.1	WP_044272373.1	WP_179696067.1	WP_160584684.1	WP_014579672.1	WP_044272373.1	WP_011206003.1	WP_233688689.1	WP_011206003.1	WP_160615758.1	WP_160590259.1	WP_014579672.1	WP_160584684.1	WP_044272373.1	WP_044272373.1	WP_160584684.1	WP_044272373.1	WP_011206003.1		WP_014579672.1	WP_233688689.1	WP_233688689.1
N3.HOG0000385	OG0000321	n0									WP_011206002.1	WP_014579673.1	WP_014579673.1	WP_011206002.1	WP_020835617.1	WP_044272375.1	WP_179696068.1	WP_179221056.1	WP_135618644.1	WP_146379539.1	WP_044284604.1	WP_233688690.1	WP_160600989.1	WP_160615760.1	WP_160590261.1	WP_160585565.1	WP_160607920.1	WP_160606769.1	WP_160587984.1	WP_160584686.1	WP_160587984.1	WP_011206002.1		WP_014579673.1	WP_243216021.1	WP_243216021.1
N3.HOG0000386	OG0000322	n0									WP_011206001.1	WP_014579674.1	WP_014579674.1	WP_011206001.1	WP_020835619.1	WP_044272377.1	WP_020835619.1	WP_179221057.1	WP_020835619.1	WP_044272377.1	WP_044284605.1	WP_020835619.1	WP_160600987.1	WP_160590263.1	WP_160590263.1	WP_160585564.1	WP_160607918.1	WP_020835619.1	WP_020835619.1	WP_160584688.1	WP_020835619.1	WP_129640616.1		WP_088764600.1	WP_243216023.1	WP_243216023.1
N3.HOG0000387	OG0000323	n0									WP_011206399.1	WP_011206399.1	WP_011206399.1	WP_011206399.1	WP_011290347.1	WP_011290347.1	WP_011290347.1	WP_011206399.1	WP_011206399.1	WP_146379700.1	WP_011206399.1	WP_011206399.1	WP_160600796.1	WP_146379700.1	WP_146379700.1	WP_011290347.1	WP_011290347.1	WP_146379700.1	WP_011290347.1	WP_011290347.1	WP_011290347.1	WP_011206399.1		WP_011206399.1	WP_011290347.1	WP_011290347.1
N3.HOG0000388	OG0000324	n0									WP_011206400.1	WP_011206400.1	WP_011206400.1	WP_011206400.1	WP_020835851.1	WP_020835851.1	WP_020835851.1	WP_011206400.1	WP_135619034.1	WP_020835851.1	WP_011206400.1	WP_011206400.1	WP_011206400.1	WP_020835851.1	WP_020835851.1	WP_160585627.1	WP_020835851.1	WP_020835851.1	WP_020835851.1	WP_160585227.1	WP_020835851.1	WP_011206400.1		WP_011206400.1	WP_020835851.1	WP_020835851.1
N3.HOG0000389	OG0000325	n0									WP_011206401.1	WP_014579953.1	WP_014579953.1	WP_011206401.1	WP_020835852.1	WP_011290349.1	WP_160588325.1	WP_160585229.1	WP_020835852.1	WP_146379701.1	WP_011284294.1	WP_014579953.1	WP_014579953.1	WP_160615607.1	WP_160585229.1	WP_160585628.1	WP_160608084.1	WP_160588325.1	WP_160588325.1	WP_160585229.1	WP_160588325.1	WP_011206401.1		WP_252862146.1	WP_243216303.1	WP_243216303.1
N3.HOG0000390	OG0000326	n0									WP_011206402.1	WP_011206402.1	WP_011206402.1	WP_011206402.1	WP_020835853.1	WP_044272588.1	WP_044272588.1	WP_160585231.1	WP_135619036.1	WP_044272588.1	WP_044284696.1	WP_011206402.1	WP_011206402.1	WP_044272588.1	WP_044272588.1	WP_044284696.1	WP_160585231.1	WP_160585231.1	WP_044272588.1	WP_160585231.1	WP_044272588.1	WP_011206402.1		WP_011206402.1	WP_135619036.1	WP_135619036.1
N3.HOG0000391	OG0000327	n0									WP_011206403.1	WP_044278032.1	WP_044278032.1	WP_011206403.1	WP_020835854.1	WP_011290351.1	WP_146379702.1	WP_179221199.1	WP_135619038.1	WP_146379702.1	WP_011284296.1	WP_233688513.1	WP_160600798.1	WP_020835854.1	WP_146379702.1	WP_160585629.1	WP_160608088.1	WP_160606881.1	WP_160588327.1	WP_160585233.1	WP_160588327.1	WP_011206403.1		WP_290124226.1	WP_243216305.1	WP_243216305.1
N3.HOG0000392	OG0000328	n0									WP_011206404.1	WP_014579955.1	WP_014579955.1	WP_011206404.1	WP_041361686.1	WP_011290352.1	WP_146379703.1	WP_014579955.1	WP_011290352.1	WP_146379703.1	WP_011206404.1	WP_011206404.1	WP_011206404.1	WP_146379703.1	WP_146379703.1	WP_160585630.1	WP_160608089.1	WP_160606879.1	WP_146379703.1	WP_011290352.1	WP_146379703.1	WP_011206404.1		WP_014579955.1	WP_011290352.1	WP_011290352.1
N3.HOG0000393	OG0000329	n0									WP_011206406.1	WP_014579956.1	WP_014579956.1	WP_011206406.1	WP_041361690.1	WP_041361690.1	WP_160615603.1	WP_011206406.1	WP_011206406.1	WP_146379705.1	WP_011206406.1	WP_160615603.1	WP_160600800.1	WP_160615603.1	WP_011206406.1	WP_160585631.1	WP_160608092.1	WP_258555484.1	WP_041361690.1	WP_041361690.1	WP_041361690.1	WP_011206406.1		WP_014579956.1	WP_041361690.1	WP_041361690.1
N3.HOG0000394	OG0000330	n0									WP_011206408.1	WP_011206408.1	WP_011206408.1	WP_011206408.1	WP_020835856.1	WP_228366108.1	WP_179695916.1	WP_020835856.1	WP_135619044.1	WP_146379707.1	WP_011206408.1	WP_146379707.1	WP_011206408.1	WP_146379707.1	WP_135619044.1	WP_160585633.1	WP_011206408.1	WP_146379707.1	WP_146379707.1	WP_011206408.1	WP_146379707.1	WP_011206408.1		WP_011206408.1	WP_020835856.1	WP_020835856.1
N3.HOG0000395	OG0000331	n0									WP_011206409.1	WP_044278034.1	WP_044278034.1	WP_011206409.1	WP_020835857.1	WP_011284299.1	WP_011284299.1	WP_011284299.1	WP_135619046.1	WP_011284299.1	WP_011284299.1	WP_233688514.1	WP_011284299.1	WP_011284299.1	WP_135619046.1	WP_011284299.1	WP_011284299.1	WP_011284299.1	WP_011284299.1	WP_011284299.1	WP_011284299.1	WP_011206409.1		WP_252862145.1	WP_020835857.1	WP_020835857.1
N3.HOG0000396	OG0000332	n0									WP_232039502.1	WP_014579532.1	WP_014579532.1	WP_232039502.1	WP_041361522.1	WP_041361522.1	WP_050195463.1	WP_240536630.1	WP_050195463.1	WP_050195463.1	WP_014579532.1	WP_050195463.1	WP_050195463.1	WP_258555948.1	WP_258555717.1	WP_050195463.1	WP_050195463.1	WP_160606885.1	WP_050195463.1	WP_258555948.1	WP_050195463.1	WP_232039502.1		WP_014579532.1	WP_232039502.1	WP_232039502.1
N3.HOG0000397	OG0000333	n0									WP_011205868.1	WP_014579533.1	WP_014579533.1	WP_011205868.1	WP_020835499.1	WP_020835499.1	WP_179695931.1	WP_179220985.1	WP_135618466.1	WP_146379456.1	WP_014579533.1	WP_179220985.1	WP_160600647.1	WP_160615834.1	WP_258555718.1	WP_160585550.1	WP_160607726.1	WP_258555485.1	WP_258555485.1	WP_280996517.1	WP_258555380.1	WP_011205868.1		WP_014579533.1	WP_243215931.1	WP_243215931.1
N3.HOG0000398	OG0000334	n0									WP_011205869.1	WP_014579534.1	WP_014579534.1	WP_011205869.1	WP_011289951.1	WP_011289951.1	WP_179695932.1	WP_179220986.1	WP_135618468.1	WP_146379457.1	WP_011283846.1	WP_233688602.1	WP_160600649.1	WP_308507025.1	WP_308704696.1	WP_160585549.1	WP_160607991.1	WP_258555412.1	WP_160617488.1	WP_160584780.1	WP_308507094.1	WP_011205869.1		WP_014579534.1	WP_243215932.1	WP_243215932.1
N3.HOG0000399	OG0000335	n0									WP_228365403.1	WP_228365403.1	WP_228365403.1	WP_011205870.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_011205870.1	WP_233688603.1	WP_228365403.1	WP_020835500.1	WP_243215933.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_020835500.1	WP_011205870.1		WP_011205870.1	WP_243215933.1	WP_020835500.1
N3.HOG0000400	OG0000336	n0									WP_011205873.1	WP_044889030.1	WP_044277949.1	WP_011205873.1	WP_020835503.1	WP_011289955.1	WP_179695934.1	WP_179220988.1	WP_135618472.1	WP_146379459.1	WP_011283850.1	WP_233688605.1	WP_160600653.1	WP_160585547.1	WP_146379459.1	WP_160585547.1	WP_160607987.1	WP_160606535.1	WP_160588042.1	WP_160584776.1	WP_160588042.1	WP_011205873.1		WP_252862121.1	WP_243215935.1	WP_243215935.1
N3.HOG0000401	OG0000337	n0									WP_011205875.1	WP_011289957.1	WP_011289957.1	WP_011205875.1	WP_011289957.1	WP_011289957.1	WP_011289957.1	WP_011289957.1	WP_135618476.1	WP_011289957.1	WP_011283852.1	WP_011289957.1	WP_011205875.1	WP_011289957.1	WP_011289957.1	WP_160584772.1	WP_011289957.1	WP_160584772.1	WP_160588038.1	WP_160584772.1	WP_160588038.1	WP_011205875.1		WP_011289957.1	WP_243215937.1	WP_243215937.1
N3.HOG0000402	OG0000338	n0									WP_011205877.1	WP_014579542.1	WP_014579542.1	WP_011205877.1	WP_020835505.1	WP_044272282.1	WP_179695936.1	WP_160600657.1	WP_135618480.1	WP_044272282.1	WP_044284567.1	WP_233688608.1	WP_160600657.1	WP_044272282.1	WP_044272282.1	WP_044272282.1	WP_044272282.1	WP_044272282.1	WP_160588036.1	WP_044272282.1	WP_160588036.1	WP_011205877.1		WP_014579542.1	WP_243215940.1	WP_243215940.1
N3.HOG0000403	OG0000339	n0									WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_044284570.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1	WP_011205880.1		WP_011205880.1	WP_011205880.1	WP_011205880.1
N3.HOG0000404	OG0000340	n0									WP_011205881.1	WP_014579544.1	WP_014579544.1	WP_011205881.1	WP_020835507.1	WP_020835507.1	WP_014579544.1	WP_179220991.1	WP_014579544.1	WP_146379462.1	WP_014579544.1	WP_014579544.1	WP_014579544.1	WP_146379462.1	WP_146379462.1	WP_014579544.1	WP_160607985.1	WP_014579544.1	WP_020835507.1	WP_020835507.1	WP_020835507.1	WP_011205881.1		WP_014579544.1	WP_014579544.1	WP_014579544.1
N3.HOG0000405	OG0000341	n0									WP_011205882.1	WP_011205882.1	WP_011205882.1	WP_011205882.1	WP_020835508.1	WP_011289963.1	WP_179695937.1	WP_011205882.1	WP_135618487.1	WP_146379463.1	WP_011283858.1	WP_160600661.1	WP_160600661.1	WP_146379463.1	WP_146379463.1	WP_160585545.1	WP_160600661.1	WP_011289963.1	WP_011289963.1	WP_011289963.1	WP_011289963.1	WP_011205882.1		WP_011205882.1	WP_160600661.1	WP_160600661.1
